N° de Bien | Descripcion
PGEB-BM-955 | MESA AUXILIAR EN FORMICA DE 1 GAVETA 80CM LONG* 56 CM ANCHO COLOR PALO DE ROSA
PGEB-BM-491 | MONITOR 15", MARCA SIRAGON, SVGA, COLOR NEGRO Y PLATEADO, MOD.: S/N, SER: S/N
PGEB-BM-53 | MONITOR SOYO, 17" BLACK, PANTALLA PLANA
PGEB-BM-66 | MONITOR DE 17" LCD AOC BLACK
PGEB-BM-893 | MONITOR 17" AOC MODELO NO:TFT17W80PS, SERIAL:D3274JA003408 COLOR NEGRO Y GRIS	
PGEB-BM-202 | TELEFONO PANASONIC. COLOR NEGRO,  MOD.: KX-TS500LXB, SER.: OKBLD064897
PGEB-BM-280 | UPS MARCA OMEGA	
PGEB-BM-207 | FOTOCOPIADORA MULTIFUNCIONAL CANON MF-4350 SER. NO HAJ51386
PGEB-BM-105 | CPU INTEL (R) PENTIUM (R) DUAL E2200@ 2.20 GHZ,TARJETA MADRE FOXCON CHIP INTEL 945, DIMM DDR2, 2GB MARKVISION, DISCO DURO DE 160 GB SANSUNG SATA, DVD SUPER MULTI DVD-RW 2OX LG SATA
PGEB-BM-181 | CASE,UNIDAD DE CD ROM,DISCO DURO 160 GB, PROCESADOR  INTEL DUAL CORE 2,7, TARJETA DE MEMORIA ASROCK INTEL 775, MEMORIA 2GB.
PGEB-BM-215 | UPS MEGAPOWER DE 500 VAT
PGEB-BM-313 | AIRE ACONDICIONADO DE 12.000 BTU, 220 V. CON KIT
PGEB-BM-116 | ESCRITORIO EJECUTIVO COLOR CANELA DE 1,30 X 0,60 CON ALA DE 0,90 CON TRES (03) GAVETAS
PGEB-BM-459 | SILLAS SECRETARIAL TIPO CONCHA EN SEMICUERO MARRON, MOD.: S/N, SER.: S/N	
PGEB-BM-3 | SCANNER BENQ 5000 COLOR	
PGEB-BM-314 | AIRE ACONDICIONADO TIPO SPLIT, 12.000 BTU, MODELO ASHD-12ED
PGEB-BM-321 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-325 | CPU- SERVIDOR
PGEB-BM-331 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-172 | IMPRESORA LASEJET HP P1005	
PGEB-BM-335 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-337 | CPU VIT 1201/COLOR NEGRO CON ACABOS BRILLANTES.
PGEB-BM-1077 | REGULADOR DE VOLTAJE MARCA KODE, MOD. S/N, SER.:24586	
PGEB-BM-1078 | REGULADOR DE VOLTAJE MARCA AVTEK, MOD. S/N, SER.:S/N.	
PGEB-BM-413 | REGULADOR DE VOLTAJE MARCA AVTEK, MOD.: S/N, SER: RP-1 1019301
PGEB-BM-147 | SILLA EJECUTIVA PISA SAFA, COLOR AZUL
PGEB-BM-283 | SILLA SECRETARIAL VERONA COLOR AZUL	
PGEB-BM-71 | SILLA GERENCIAL, MOB TECHM TIPO CUERO, COLOR NEGRO
PGEB-BM-1006 | MONITOR  LCD MARCA LG 19" MODELO:FLATRON W1934S-BN, SERIAL: 907UXUNCB462  COLOR NEGRO.
